id,top_cast,director
37557,"Gong Li, Li Bao-Tian, Wang Xiaoxiao",Zhang Yimou
9909,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance",John N. Smith
63,"Bruce Willis, Madeleine Stowe, Brad Pitt",Terry Gilliam
78802,"Craig Sheffer, Elizabeth McGovern, Tom Hulce",Jean-Jacques Annaud
9598,"Christine Cavanaugh, Miriam Margolyes, Danny Mann",Chris Noonan
47018,"Emma Thompson, Jonathan Pryce, Steven Waddington",Christopher Hampton
687,"Susan Sarandon, Sean Penn, Robert Prosky",Tim Robbins
139405,"Peter Reznick, John McDonough, Avi Hoffman",Stephen Low
33689,"Kirstie Alley, Steve Guttenberg, Ashley Olsen",Andy Tennant
9603,"Alicia Silverstone, Stacey Dash, Brittany Murphy",Amy Heckerling
34615,"James Earl Jones, Charles S. Dutton, Jack Robinson",Darrell James Roodt
31174,"Ian McKellen, Annette Bening, Jim Broadbent",Richard Loncraine
11443,"Larenz Tate, Keith David, Chris Tucker",Albert Hughes
35196,"Robert Downey Jr., Meg Ryan, Sam Neill",Michael Hoffman
9312,"Christopher Lambert, Robin Shou, Linden Ashby",Paul W.S. Anderson
577,"Nicole Kidman, Matt Dillon, Joaquin Phoenix",Gus Van Sant
11861,"Winona Ryder, Anne Bancroft, Ellen Burstyn",Jocelyn Moorhouse
807,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow",David Fincher
10530,"Irene Bedard, Mel Gibson, David Ogden Stiers",Mike Gabriel
8391,"Pascale Bussières, Rachael Crawford, Henry Czerny",Patricia Rozema
629,"Stephen Baldwin, Gabriel Byrne, Chazz Palminteri",Bryan Singer
117164,"Cynthia Rothrock, Marshall R. Teague, Daniel McVicar",Richard W. Munchkin
11448,"Woody Allen, Mira Sorvino, Helena Bonham Carter",Woody Allen
49133,"Enrico Lo Verso, Michele Placido, Piro Milkani",Gianni Amelio
26441,"Steve Guttenberg, Olivia d'Abo, Jay O. Sanders",Holly Goldberg Sloan
97406,"Jennifer Jason Leigh, Mare Winningham, Ted Levine",Ulu Grosbard
124057,"Johnny Morina, Malcolm McDowell, Maggie Castle",Robert Tinnell
9089,"Holly Hunter, Robert Downey Jr., Anne Bancroft",Jodie Foster
11010,"Philippe Noiret, Massimo Troisi, Maria Grazia Cucinotta",Michael Radford
99040,"Lothaire Bluteau, Patrick Goyette, Jean-Louis Millette",Robert Lepage
11359,"Hal Scardino, Litefoot, Lindsay Crouse",Frank Oz
17182,"Sally Field, Kiefer Sutherland, Ed Harris",John Schlesinger
2054,"Richard Dreyfuss, Glenne Headly, Jay Thomas",Stephen Herek
10607,"Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones",Paris Barclay
19760,"Sandra Bullock, Denis Leary, Yaphet Kotto",Bill Bennett
9536,"Pauly Shore, Stephen Baldwin, Joey Lauren Adams",Jason Bloom
11525,"Patrick Bergin, Matt Frewer, Austin O'Brien",Farhad Mann
40628,"Jerry Barone, Al Pacino, Mary Elizabeth Mastrantonio",James Foley
4482,"Victoria Abril, Josiane Balasko, Alain Chabat",Josiane Balasko
10634,"Ice Cube, Chris Tucker, Nia Long",F. Gary Gray
755,"George Clooney, Quentin Tarantino, Harvey Keitel",Robert Rodriguez
11859,"William Baldwin, Cindy Crawford, Steven Berkoff",Andrew Sipes
28387,"Josh Hamilton, Olivia d'Abo, Carlos Jacott",Noah Baumbach
48750,"Jean-Paul Belmondo, Michel Boujenah, Alessandra Martines",Claude Lelouch
20927,"Christian Slater, Mary Stuart Masterson, Pamela Adlon",Michael Goldenberg
36929,"Rick Moranis, Tom Arnold, Julianne Phillips",Steve Miner
9102,"Peter Weller, Roy Dupuis, Jennifer Rubin",Christian Duguay
124626,"Nico, Tina Aumont, Jackson Browne",Susanne Ofteringer
27526,"Jack Nicholson, David Morse, Anjelica Huston",Sean Penn
9623,"Demi Moore, Alec Baldwin, Joseph Gordon-Levitt",Brian Gibson
46785,"Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadre Orafaiy",Jafar Panahi
400,"Andy García, Christopher Lloyd, William Forsythe",Gary Fleder
880,"Willeke van Ammelrooy, Els Dottermans, Dora van der Groen",Marleen Gorris
146599,"Al Freeman, Jr., Phylicia Rashād, Paula Kelly",Tim Reid
188588,"Victoria Foyt, Viveca Lindfors, Jon Robin Baitz",Henry Jaglom
8447,"Mark Rylance, Kristin Scott Thomas, Patsy Kensit",Philip Haas
10534,"Jeff Bridges, Caroline Goodall, John Savage",Ridley Scott
17414,"Jason Alexander, Faye Dunaway, Eric Lloyd",Ken Kwapis
13997,"Chris Farley, David Spade, Grant Heslov",Penelope Spheeris
2086,"Johnny Depp, Courtney Chase, Charles S. Dutton",John Badham
61548,"Jason Patric, Thandie Newton, Larry Drake",John Duigan
9095,"Julia Roberts, John Malkovich, George Cole",Stephen Frears
12158,"Eddie Murphy, Angela Bassett, Allen Payne",Wes Craven
9283,"Matt Dillon, Noah Emmerich, Annabeth Gish",Ted Demme
9208,"John Travolta, Christian Slater, Samantha Mathis",John Woo
40154,"Richard Briers, Joan Collins, Michael Maloney",Kenneth Branagh
406,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui",Mathieu Kassovitz
45549,"Sadie Frost, Jude Law, Sean Pertwee",Paul W.S. Anderson
63076,"Nick Broomfield, Heidi Fleiss, Madam Alex",Nick Broomfield
11062,"Al Pacino, John Cusack, Bridget Fonda",Harold Becker
13685,"Luke Wilson, Owen Wilson, Lumi Cavazos",Wes Anderson
47475,"Ellen DeGeneres, Bill Pullman, Joan Cusack",Nick Castle
2045,"Ray Liotta, Linda Fiorentino, Peter Coyote",John Dahl
9614,"Adam Sandler, Ben Stiller, Christopher McDonald",Dennis Dugan
688,"Meryl Streep, Clint Eastwood, Annie Corley",Clint Eastwood
11907,"Maria Schrader, Pierre Sanoussi-Bliss, Michael von Au",Doris Dörrie
10874,"Tim Curry, Kevin Bishop, Jennifer Saunders",Brian Henson
89333,"Christy Turlington, Azzedine Alaïa, Giorgio Armani",Robert Leacock
96357,"Raymond J. Barry, Rustam Branaman, Jennifer MacDonald",James Bruce
197,"Mel Gibson, Catherine McCormack, Sophie Marceau",Mel Gibson
103,"Robert De Niro, Cybill Shepherd, Harvey Keitel",Martin Scorsese
33542,"Jackie Chan, Anita Mui, Françoise Yip",Stanley Tong
43566,"Meryl Streep, Liam Neeson, Edward Furlong",Barbet Schroeder
71754,"Helena Bonham Carter, Clive Russell, Craig Olejnik",Mort Ransen
43612,"Michel Serrault, Eddy Mitchell, Sabine Azéma",Étienne Chatiliez
51352,"Kenneth Branagh, Glenn Close",Jon Blair
16934,"Tobias Arnold, Ruth Sheen, Roger Lloyd Pack",Benjamin Ross
10324,"Sarah Jessica Parker, Elle Macpherson, Scarlett Johansson",Eric Schaeffer
78406,"Andy García, Alan Arkin, Rachel Ticotin",Andrew Davis
55731,"Halle Berry, Jim Belushi, Casey Affleck",Charles T. Kanganis
32119,"Henry Czerny, Johnny Morina, Brian Dooley",John N. Smith
11066,"Eddie Murphy, Robin Givens, Halle Berry",Reginald Hudlin
11104,"Brigitte Lin, Tony Leung Chiu-Wai, Faye Wong",Wong Kar-wai
37975,"Sergio Castellitto, Tiziana Lodato, Franco Scaldati",Giuseppe Tornatore
2074,"Ben Stiller, Patricia Arquette, Téa Leoni",David O. Russell
27793,"Jason James Richter, Melody Kay, Kevin McNulty",Peter MacDonald
44284,"Amel Hedhili, Najia Ouerghi, Fatima Ben Saïdane",Moufida Tlatli
290157,Maggie Cogan,Michel Negroponte
110972,"Josh Charles, Anne Heche, John Goodman",Bryan Gordon
32622,"Miranda Rhyne, Charlotte Eve Blythe, Anna Levine",Rebecca Miller
73067,"Matt Dillon, Corban Walker, Gabriel Byrne",Michael Lindsay-Hogg
11863,"David Caruso, Linda Fiorentino, Chazz Palminteri",William Friedkin
55475,"Luisito Marti, Alfonso Zayas, Caridad Ravelo",Ángel Muñiz
124636,"Lloyd Dunn, Chris Grigg, Mark Hosler",Craig Baldwin
9101,"Kelsey Grammer, Lauren Holly, Rob Schneider",David S. Ward
123360,"Jean Seberg, Mary Beth Hurt",Mark Rappaport
5757,"Dirk Shafer, Mary Stein, Claudette Sutherland",Dirk Shafer
39428,"Jacob Tierney, Drake Bell, Gena Rowlands",Terence Davies
124639,,Sandip Ray
9302,"Robert Redford, Michelle Pfeiffer, Stockard Channing",Jon Avnet
11000,"Robin Williams, Gene Hackman, Nathan Lane",Mike Nichols
249882,"Martin Sheen, Michael York, Morgan Fairchild",Jakov Sedlar
16388,"Shari Albert, Maxine Bahns, Catharine Bolz",Edward Burns
9737,"Will Smith, Martin Lawrence, Téa Leoni",Michael Bay
30765,"Stephen Lang, Ryan Slater, Yi Ding",Christopher Cain
10474,"Leonardo DiCaprio, Lorraine Bracco, James Madio",Scott Kalvert
22279,"Alan Rickman, Hugh Grant, Georgina Cates",Mike Newell
30157,"Isabelle Huppert, Martin Donovan, Elina Löwensohn",Hal Hartley
568,"Tom Hanks, Bill Paxton, Kevin Bacon",Ron Howard
11780,"Liam Neeson, Jessica Lange, John Hurt",Michael Caton-Jones
34996,"Lili Taylor, Christopher Walken, Annabella Sciorra",Abel Ferrara
414,"Val Kilmer, Tommy Lee Jones, Jim Carrey",Joel Schumacher
649,"Catherine Deneuve, Michel Piccoli, Jean Sorel",Luis Buñuel
1873,"Patricia Arquette, Frances McDormand, U Aung Ko",John Boorman
5894,"Harvey Keitel, Lou Reed, Michael J. Fox",Paul Auster
1775,"John Candy, Alan Alda, Rhea Perlman",Michael Moore
8839,"Christina Ricci, Bill Pullman, Cathy Moriarty",Brad Silberling
20649,"Harvey Keitel, John Turturro, Delroy Lindo",Spike Lee
10329,"Laura Linney, Dylan Walsh, Ernie Hudson",Frank Marshall
8963,"Denzel Washington, Gene Hackman, Matt Craven",Tony Scott
26564,"Robert Crumb, Aline Kominsky, Charles Crumb",Terry Zwigoff
8068,"Antonio Banderas, Salma Hayek, Joaquim de Almeida",Robert Rodriguez
8512,"Denzel Washington, Tom Sizemore, Jennifer Beals",Carl Franklin
1572,"Bruce Willis, Jeremy Irons, Samuel L. Jackson",John McTiernan
13552,"Rose McGowan, James Duval, Johnathon Schaech",Gregg Araki
259209,"Embeth Davidtz, Tom Bell, Gemma Jones",Christopher Menaul
6520,"Sean Connery, Richard Gere, Julia Ormond",Jerry Zucker
9073,"Jason James Richter, Michael Madsen, Jayne Atkinson",Dwight H. Little
10428,"Jonny Lee Miller, Angelina Jolie, Jesse Bradford",Iain Softley
17447,"Steven Weber, Patrick Stewart, Michael T. Weiss",Christopher Ashley
9886,"Keanu Reeves, Dina Meyer, Takeshi Kitano",Robert Longo
9482,"Sylvester Stallone, Diane Lane, Armand Assante",Danny Cannon
19326,"Pauly Shore, Tia Carrere, Stanley Tucci",John Fortenberry
9344,"Leo Fitzpatrick, Rosario Dawson, Chloë Sevigny",Larry Clark
9071,"Steve Buscemi, Catherine Keener, Dermot Mulroney",Tom DiCillo
8973,"Scott Bakula, Kevin J. O'Connor, Famke Janssen",Clive Barker
15730,"Thomas Gibson, Ruth Marshall, Cameron Bancroft",Denys Arcand
47608,"Chris O'Donnell, Drew Barrymore, Matthew Lillard",Antonia Bird
2293,"Jason Lee, Jeremy London, Shannen Doherty",Kevin Smith
9070,"Amy Jo Johnson, Jason David Frank, David Yost",Bryan Spicer
68274,"Elizabeth Perkins, Gwyneth Paltrow, Kathleen Turner",David Anspaugh
48787,"Marina Zudina, Fay Ripley, Evan Richards",Anthony Waller
34574,"Elina Löwensohn, Peter Fonda, David Lynch",Michael Almereyda
1642,"Sandra Bullock, Jeremy Northam, Dennis Miller",Irwin Winkler
11472,"Hugh Grant, Julianne Moore, Tom Arnold",Chris Columbus
36196,"Parker Posey, Liev Schreiber, Anthony DeSando",Daisy von Scherler Mayer
11980,"Christopher Walken, Elias Koteas, Virginia Madsen",Gregory Widen
58372,"Mia Farrow, Tony Goldwyn, Scott Glenn",Norman René
32646,"Julianne Moore, Xander Berkeley, Dean Norris",Todd Haynes
10533,"Demi Moore, Gary Oldman, Robert Duvall",Roland Joffé
56088,"Kurtis Blow, Sean Combs, Snoop Dogg",
10802,"Elizabeth Berkley, Kyle MacLachlan, Gina Gershon",Paul Verhoeven
10149,"Harvey Keitel, William Hurt, Giancarlo Esposito",Wayne Wang
18402,"Julia Roberts, Dennis Quaid, Robert Duvall",Lasse Hallström
9348,"Natasha Henstridge, Ben Kingsley, Michael Madsen",Roger Donaldson
139408,"Robert Duvall, Aidan Quinn, Frances Fisher",James Keach
281,"Ralph Fiennes, Angela Bassett, Tom Sizemore",Kathryn Bigelow
5967,"Catherine Deneuve, Nino Castelnuovo, Anne Vernon",Jacques Demy
79593,"Daryl Hannah, Keith Carradine, Moira Kelly",Wesley Strick
47939,"Patrick Swayze, Mary Elizabeth Mastrantonio, Joseph Mazzello",Martha Coolidge
36834,"Leonardo DiCaprio, David Thewlis, Romane Bohringer",Agnieszka Holland
9090,"Patrick Swayze, Wesley Snipes, John Leguizamo",Beeban Kidron
3512,"Steven Seagal, Eric Bogosian, Everett McGill",Geoff Murphy
52856,"Andie MacDowell, John Turturro, Michael Richards",Diane Keaton
77350,"Sandra Bernhard, Isaac Mizrahi, Naomi Campbell",Douglas Keeve
9560,"Keanu Reeves, Aitana Sánchez-Gijón, Anthony Quinn",Alfonso Aráu
9804,"Kevin Costner, Chaim Girafi, Rick Aviles",Kevin Reynolds
31611,"John Travolta, Harry Belafonte, Kelly Lynch",Desmond Nakano
65796,"Jeff Bridges, Ellen Barkin, John Hurt",Walter Hill
49805,"Albert Finney, Greta Scacchi, Matthew Modine",Mike Figgis
26258,"Daniel Stern, Jon Polito, Brad Sullivan",Greg Beeman
50797,"Nikita Mikhalkov, Oleg Menshikov, Ingeborga Dapkunaite",Nikita Mikhalkov
19155,"Katrin Cartlidge, Rade Serbedzija, Grégoire Colin",Milčo Mančevski
76,"Ethan Hawke, Julie Delpy, Andrea Eckert",Richard Linklater
11017,"Adam Sandler, Darren McGavin, Bridgette Wilson",Tamra Davis
37141,"Alicia Silverstone, Jeremy London, J.T. Walsh",Guy Ferland
9382,"Whoopi Goldberg, Mary-Louise Parker, Drew Barrymore",Herbert Ross
6715,"Brad Renfro, Joseph Mazzello, Annabella Sciorra",Peter Horton
18256,"Jeffrey Combs, Barbara Crampton, Jonathan Fuller",Stuart Gordon
22625,"Chris O'Donnell, Minnie Driver, Geraldine O'Rawe",Pat O'Connor
2292,"Brian O'Halloran, Jeff Anderson, Jason Mewes",Kevin Smith
1909,"Johnny Depp, Marlon Brando, Faye Dunaway",Jeremy Leven
8984,"Michael Douglas, Demi Moore, Donald Sutherland",Barry Levinson
61813,"Patsy Kensit, Bruce Greenwood, Andrew McCarthy",René Bonnière
4954,"Wesley Snipes, Gary Busey, Yancy Butler",John Badham
62488,"Dylan McDermott, Nancy Travis, James Le Gros",Jack Baran
10531,"Sigourney Weaver, Ben Kingsley, Stuart Wilson",Roman Polanski
11929,"Kathy Bates, Jennifer Jason Leigh, Judy Parfitt",Taylor Hackford
8467,"Jim Carrey, Jeff Daniels, Lauren Holly",Peter Farrelly
10451,"Sihung Lung, Yu-Wen Wang, Jacklyn Wu ",Ang Lee
20156,"Bruce Greenwood, Mia Kirshner, Elias Koteas",Atom Egoyan
18395,"Dana Delany, Paul Mercurio, Rosie O'Donnell",Garry Marshall
522,"Johnny Depp, Martin Landau, Sarah Jessica Parker",Tim Burton
397,"Meg Ryan, Kevin Kline, Timothy Hutton",Lawrence Kasdan
10525,"Billy Crystal, Debra Winger, Joe Mantegna",Billy Crystal
27985,"Mimi Rogers, Jesse Bradford, Bruce Davison",Phillip Borsos
15789,"Bill Farmer, Jason Marsden, Rob Paulsen",Kevin Lima
27303,"Jeff Goldblum, Christine Lahti, Alicia Silverstone",Brett Leonard
21183,"Samuel L. Jackson, Matthew Modine, Nancy Travis",Carlo Carlei
10954,"Stefano Dionisi, Enrico Lo Verso, Elsa Zylberstein",Gérard Corbiau
47867,"Ted Manson, Afemo Omilami",Mark Lewis
43475,,Art Clokey
72031,"Ice Cube, Lori Petty, Erich Anderson",Charles Burnett
14275,"William Gates, Arthur Agee, Steve James",Steve James
1024,"Melanie Lynskey, Kate Winslet, Sarah Peirse",Peter Jackson
17207,"Sinbad, Phil Hartman, Jeffrey Jones",Randall Miller
13701,"Gary Oldman, Jeroen Krabbé, Isabella Rossellini",Bernard Rose
14819,"Ben Stiller, Aaron Schwartz, Kenan Thompson",Steven Brill
32631,"Christopher Lambert, John Lone, Joan Chen",J. F. Lawton
11777,"Tim Robbins, Meg Ryan, Walter Matthau",Fred Schepisi
628,"Brad Pitt, Tom Cruise, Kirsten Dunst",Neil Jordan
87729,"Nick Nolte, Greta Scacchi, Thandie Newton",James Ivory
18713,"John G. Brennan, Kamal Ahmed, Alan Arkin",James Melkonian
6280,"Arnold Schwarzenegger, Danny DeVito, Emma Thompson",Ivan Reitman
9061,"Sean Connery, Laurence Fishburne, Blair Underwood",Arne Glimcher
37108,"Thomas Ian Nicholas, Joss Ackland, Art Malik",Michael Gottlieb
6071,"David Caruso, Samuel L. Jackson, Nicolas Cage",Barbet Schroeder
11,"Mark Hamill, Harrison Ford, Carrie Fisher",George Lucas
9587,"Winona Ryder, Gabriel Byrne, Trini Alvarado",Gillian Armstrong
19101,"Liesel Matthews, Eleanor Bron, Liam Cunningham",Alfonso Cuarón
49980,"Crissy Rock, Vladimir Vega, Sandie Lavelle",Ken Loach
17961,"Emmanuelle Béart, François Cluzet, Nathalie Cardone",Claude Chabrol
18183,"Marco Leonardi, Lumi Cavazos, Regina Torné",Alfonso Aráu
4476,"Brad Pitt, Anthony Hopkins, Aidan Quinn",Edward Zwick
11008,"Damon Wayans, Orlando Brown, Michael Ironside",Nick Castle
47504,"Edward Furlong, Tim Roth, Moira Kelly",James Gray
32325,"Angel Aviles, Seidy López, Jacob Vargas",Allison Anders
43742,"Warren Beatty, Annette Bening, Katharine Hepburn",Glenn Gordon Caron
28313,"Jessica Lange, Halle Berry, David Strathairn",Stephen Gyllenhaal
11318,"Nigel Hawthorne, Helen Mirren, Ian Holm",Nicholas Hytner
3036,"Robert De Niro, Kenneth Branagh, Tom Hulce",Kenneth Branagh
40490,"Farrah Fawcett, Chevy Chase, Jonathan Taylor Thomas",James Orr
24070,"Steve Martin, Madeline Kahn, Robert Klein",Nora Ephron
8986,"Melanie Griffith, Ed Harris, Michael Patrick Carter",Richard Benjamin
10510,"Richard Attenborough, Elizabeth Perkins, Dylan McDermott",Les Mayfield
17402,"Sarah Jessica Parker, Antonio Banderas, Mia Farrow",David Frankel
38722,"Edward James Olmos, Jimmy Smits, Esai Morales",Gregory Nava
8438,"Christian Slater, Kevin Bacon, Gary Oldman",Marc Rocco
11593,"Paul Newman, Bruce Willis, Melanie Griffith",Robert Benton
1945,"Jodie Foster, Liam Neeson, Natasha Richardson",Michael Apted
39310,"Sharron Corley, Donald Faison, Christine Baranski",Nick Gomez
109560,"Toru Nakamura, Chad McQueen, Mira Sorvino",Tōru Murakawa
56428,"Elizabeth Hurley, Craig Fairbrass, Keith Allen",Vadim Jean
63105,"Sue Price, Chad Stahelski, Tina Cote",Albert Pyun
131957,"Laura San Giacomo, Michael O'Keefe, Paul Rhys",Alan Jacobs
241,"Woody Harrelson, Juliette Lewis, Robert Downey Jr.",Oliver Stone
9058,"Marisa Tomei, Robert Downey Jr., Bonnie Hunt",Norman Jewison
527,"Rena Owen, Temuera Morrison, Mamaengaroa Kerr-Bell",Lee Tamahori
18220,"Alyssa Milano, Johnathon Schaech, Xander Berkeley",Anne Goursaud
6950,"Dustin Hoffman, Rene Russo, Morgan Freeman",Wolfgang Petersen
101,"Jean Reno, Natalie Portman, Gary Oldman",Luc Besson
63020,"Marisa Tomei, Alfred Molina, Anjelica Huston",Mira Nair
2307,"William Baldwin, John Leguizamo, Эрика Элениак",Joshua Brand
680,"John Travolta, Samuel L. Jackson, Uma Thurman",Quentin Tarantino
41478,"Kadeem Hardison, Bokeem Woodbine, Courtney B. Vance",Mario Van Peebles
25296,"Sihung Lung, Wang Lai, Bo Z. Wang",Ang Lee
40156,"Linus Roache, Tom Wilkinson, Robert Carlyle",Antonia Bird
11450,"John Turturro, Rob Morrow, Ralph Fiennes",Robert Redford
30304,"Youki Kudoh, Akira Takayama, Tamlyn Tomita",Kayo Hatta
10452,"Isabelle Adjani, Daniel Auteuil, Jean-Hugues Anglade",Patrice Chéreau
12106,"Sharon Stone, Gene Hackman, Russell Crowe",Sam Raimi
161495,"Peter Falk, D. B. Sweeney, Julianne Moore",Peter Yates
3586,"Marcello Mastroianni, Sophia Loren, Jean-Pierre Cassel",Robert Altman
110,"Irène Jacob, Jean-Louis Trintignant, Jean-Pierre Lorit",Krzysztof Kieślowski
108,"Juliette Binoche, Benoît Régent, Florence Pernel",Krzysztof Kieślowski
109,"Zbigniew Zamachowski, Julie Delpy, Janusz Gajos",Krzysztof Kieślowski
159185,"Ning Jing, Wu Gang",He Ping
36357,"Leslie Nielsen, Christopher Lloyd, Matt McCoy",Fred Gerber
92769,"Darlanne Fluegel, James Brolin, Martin Neufeld",George Mihalka
28033,"Al Franken, Laura San Giacomo, Vincent D'Onofrio",Harold Ramis
22586,"Michelle Nicastro, Jack Palance, Howard McGillin",Richard Rich
14334,"Jeni Courtney, Eileen Colgan, Mick Lally",John Sayles
2636,"Sylvester Stallone, Sharon Stone, James Woods",Luis Llosa
2164,"Kurt Russell, James Spader, Jaye Davidson",Roland Emmerich
11395,"Tim Allen, Judge Reinhold, Wendy Crewson",John Pasquin
278,"Tim Robbins, Morgan Freeman, Bob Gunton",Frank Darabont
9905,"Kerry Fox, Christopher Eccleston, Ewan McGregor",Danny Boyle
87078,"Dennis Haysbert, Michael Harris, Mel Harris",Scott McGehee
12527,"Jorge Perugorría, Vladimir Cruz, Mirta Ibarra",Tomás Gutiérrez Alea
20306,"Kevin Spacey, Frank Whaley, Michelle Forbes",George Huang
36614,"Jack Thompson, John Polson, Deborah Kennedy",Kevin Dowling
27993,"Matt Frewer, Valerie Mahaffey, Lawrence Dane",Kelly Makin
31439,"Ge You, Gong Li, Niu Ben",Zhang Yimou
9067,"Lori Petty, Ice-T, Naomi Watts",Rachel Talalay
9059,"Billy Zane, William Sadler, Jada Pinkett Smith",Ernest R. Dickerson
193,"Patrick Stewart, Jonathan Frakes, Brent Spiner",David Carson
25066,"Clarence Williams III, Corbin Bernsen, David Alan Grier",Rusty Cundieff
46797,"Willem Dafoe, Miranda Richardson, Rosemary Harris",Brian Gilbert
12122,"Christopher Reeve, Kirstie Alley, Linda Kozlowski",John Carpenter
11381,"Chris Farley, David Spade, Brian Dennehy",Peter Segal
32636,"Wallace Shawn, Julianne Moore, Larry Pine",Louis Malle
36141,"Peter Gallagher, Alison Elliott, William Fichtner",Steven Soderbergh
95963,"Allen Payne, Eddie Griffin, Joe Morton",Preston A. Whitmore II
1587,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis",Lasse Hallström
9271,"Denzel Washington, Russell Crowe, Kelly Lynch",Brett Leonard
2064,"Sandra Bullock, Bill Pullman, Peter Gallagher",Jon Turteltaub
19855,"Elijah Wood, Kevin Costner, Mare Winningham",Jon Avnet
60855,"Sandra Oh, Stephen Chang, Alannah Ong",Mina Shum
236,"Toni Collette, Bill Hunter, Rachel Griffiths",P.J. Hogan
48287,"Schuyler Fisk, Bre Blair, Rachael Leigh Cook",Melanie Mayron
3049,"Jim Carrey, Sean Young, Courteney Cox",Tom Shadyac
2759,"Terence Stamp, Hugo Weaving, Guy Pearce",Stephan Elliott
12635,"Stephen Dorff, Ian Hart, Sheryl Lee",Iain Softley
10497,"Hugh Grant, Kristin Scott Thomas, Emmanuelle Seigner",Roman Polanski
11382,"John Cusack, Dianne Wiest, Jennifer Tilly",Woody Allen
9331,"Harrison Ford, Willem Dafoe, Anne Archer",Phillip Noyce
10731,"Susan Sarandon, Tommy Lee Jones, Mary-Louise Parker",Joel Schumacher
10464,"Whoopi Goldberg, Ray Liotta, Tina Majorino",Jessie Nelson
34152,"Alfre Woodard, Delroy Lindo, David Patrick Kelly",Spike Lee
9495,"Brandon Lee, Rochelle Davis, Ernie Hudson",Alex Proyas
29973,"Tommy Lee Jones, Robert Wuhl, Lolita Davidovich",Ron Shelton
888,"John Goodman, Elizabeth Perkins, Rick Moranis",Brian Levant
13,"Tom Hanks, Robin Wright, Gary Sinise",Robert Zemeckis
712,"Hugh Grant, Andie MacDowell, James Fleet",Mike Newell
16295,"Omar Epps, Kristy Swanson, Michael Rapaport",John Singleton
48992,"Lauren Vélez, Jon Seda, Tomas Melly",Darnell Martin
10879,"Nick Nolte, Saul Rubinek, James Rebhorn",Charles Shyer
10660,"Nicolas Cage, Bridget Fonda, Rosie Perez",Andrew Bergman
10714,"Jason Scott Lee, Cary Elwes, Lena Headey",Stephen Sommers
41647,"Leni Riefenstahl, Marlene Dietrich, Walter Frentz",Ray Müller
8587,"Jonathan Taylor Thomas, Matthew Broderick, James Earl Jones",Roger Allers
1689,"Keanu Reeves, Bridget Fonda, Chris Isaak",Bernardo Bertolucci
11596,"Heather Langenkamp, Robert Englund, Miko Hughes",Wes Craven
854,"Jim Carrey, Cameron Diaz, Nancy Fish",Chuck Russell
9359,"Mel Gibson, Jodie Foster, James Garner",Richard Donner
23333,"Jennifer Jason Leigh, Campbell Scott, Matthew Broderick",Alan Rudolph
36593,"Leslie Nielsen, Priscilla Presley, George Kennedy",Peter Segal
